status	lemma	pos	source_frequency_rank	meaning_ja_candidate	meaning_ja_alternatives	level_candidate	distractor_group_candidate	example_en	example_ja	confidence	source_synsets	notes
approved	able	adjective	316	有能な	優秀 / 可能 / 有能	toeic600	quality-adjective			31	00510348-a	"物事をよく行う技術および資格を持っている; have the skills and qualifications to do things well; ""able teachers""; ""a capable administrator""; ""children as young as 14 can be extremely capable and dependable""; curated"
approved	information	noun	321	情報	一報 / 伝言 / 便り	toeic600	learning-noun			31	06634376-n	受け取られて、理解されるメッセージ; a message received and understood; curated
approved	local	adjective	323	地域の	局部的 / 地域的 / 局地的	toeic600	business-adjective			31	02756346-a,01425529-a	"特定の場所または近隣の、特定の場所または近隣に属する、あるいは、特定の場所または近隣に特徴的な; 体の限定的な部位だけに影響する; of or belonging to or characteristic of a particular locality or neighborhood; ""local customs""; ""local schools""; ""the local citizens""; ""a local point of view""; ""local outbreaks of flu""; ""a local bus line""; curated"
approved	social	adjective	331	社会的な	社交的 / 社会性	toeic600	business-adjective			31	02798370-a,02248349-a,02252877-a	"人間社会とその一員に関して; 一緒に生きるか、コミュニティまたは組織化されたグループで人生を楽しむさま; relating to human society and its members; ""social institutions""; ""societal evolution""; ""societal forces""; ""social legislation""; curated"
approved	issue	verb	607	発行する	上梓 / 供与 / 供給	toeic600	communication-verb			31	00967625-v	"一般への配布または販売に備える、発行する; prepare and issue for public distribution or sale; ""publish a magazine or newspaper""; curated"
approved	include	verb	641	含む	包含 / 包容 / 包蔵	toeic600	basic-verb-action			31	02632940-v	"部分としてある、の中から作られた; have as a part, be made up out of; ""The list includes the names of many famous writers""; curated"
approved	record	verb	647	記録する	採録 / 留書 / 登録	toeic600	communication-verb			31	00998399-v	"電子的に登録する; register electronically; ""They recorded her singing""; curated"
approved	value	verb	796	評価する	評価 / 貴ぶ / 重んじる	toeic600	thinking-verb			19	00695226-v,02256109-v,00694068-v	"固定するか、値を測定する; 値を割り当てる; fix or determine the value of; assign a value to; ""value the jewelry and art work in the estate""; curated"
approved	choice	noun	950	選択	択り / 採択 / 撰り	toeic600	daily-noun			31	00161243-n	"選ぶ行為; the act of choosing or selecting; ""your choice of colors was unfortunate""; ""you can take your pick""; curated"
approved	choice	adjective	951	上質な		toeic600	quality-adjective			22	02342899-a	"上等の; of superior grade; ""choice wines""; ""prime beef""; ""prize carnations""; ""quality paper""; ""select peaches""; curated"
approved	career	noun	996	経歴	来歴 / 球歴 / 経歴	toeic600	business-noun			31	00282613-n	"職業的人生の大まかな歩み; the general progression of your working or professional life; ""the general had had a distinguished career""; ""he had a long career in the law""; curated"
approved	weight	noun	1161	重さ	斤目 / 斤量 / 目方	toeic600	daily-noun			31	05026843-n	重力による質量によってはたらきかけられた垂直の力; the vertical force exerted by a mass as a result of gravity; curated
approved	region	noun	1247	地域	地域 / 地帯 / 領域	toeic600	place-noun			31	08630039-n,08630985-n	"ものの広がった空間的位置; 地上のはっきりとした境界のない広い地域; the extended spatial location of something; ""the farming regions of France""; ""religions in all parts of the world""; ""regions of outer space""; curated"
approved	search	noun	1339	捜索	捜索 / 探求 / 探索	toeic600	daily-noun			31	00945401-n,00637354-n,05770058-n	物や人を見つけるために徹底的に見る活動; 答を探し求める調査; the activity of looking thoroughly in order to find something or someone; curated
approved	effort	noun	1461	努力	試 / 企て / 努力	toeic600	daily-noun			31	00621627-n	"身体的あるいは精神的なエネルギーの使用; 猛勉強; use of physical or mental energy; hard work; ""he got an A for effort""; ""they managed only with great exertion""; curated"
approved	damage	noun	1540	損害	害 / 傷害 / 危害	toeic600	daily-noun			31	07420770-n	悪い方へ変化する出来事; the occurrence of a change for the worse; curated
approved	damage	verb	1541	損なう	損う / 損傷 / 損壊	toeic600	basic-verb-action			31	00258857-v	"損害を与える; inflict damage upon; ""The snow damaged the roof""; ""She damaged the car when she hit the tree""; curated"
approved	notice	noun	1562	通知	案内 / 通知 / 知らせ	toeic600	business-noun			31	06747670-n,07212612-n	"イベントについての情報を含んでいる発表; あらかじめ協定あるいは契約を解消するという意向の事前の通知（通常文書）; an announcement containing information about an event; ""you didn't give me enough notice""; ""an obituary notice""; ""a notice of sale; curated"
approved	status	noun	1665	状態	事様 / 具合 / 塩梅	toeic600	daily-noun			16	13920835-n	"一定の時の状況; a state at a particular time; ""a condition (or state) of disrepair""; ""the current status of the arms negotiations""; curated"
approved	trial	noun	1667	試行	試し / 試み / 試用	toeic600	learning-noun			31	00791078-n,05799212-n	"何かをテストする行為; 何かを試みて、そのことに関する情報を得る; the act of testing something; ""in the experimental trials the amount of carbon was measured separately""; ""he called each flip of the coin a new trial""; curated"
approved	coffee	noun	1674	コーヒー	カフェ / カフエ / カフェー	toeic600	daily-noun			31	07929519-n	"挽いたコーヒー豆の浸出液から成る飲料; a beverage consisting of an infusion of ground coffee beans; ""he ordered a cup of coffee""; curated"
approved	traffic	noun	1753	交通	商売 / 売買 / 貿易	toeic600	travel-noun			30	08425303-n,07279453-n,00040804-n	ある特殊の時間内に特殊の場所で物が行き来する寄り合い状態; ある一定の時間内での通信手段の活動量; the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time; curated
approved	separate	verb	1823	分ける	分割 / 分離 / 切る	toeic600	basic-verb-action			31	02467662-v	"部分や部分に分かれる; separate into parts or portions; ""divide the cake into three equal parts""; ""The British carved up the Ottoman Empire after World War I""; curated"
approved	surface	noun	1827	表面	面 / 上面 / 外側	toeic600	daily-noun			31	04362025-n	"物体の外側の境界、または境界となるあるいはそれに似た物質の層; the outer boundary of an artifact or a material layer constituting or resembling such a boundary; ""there is a special cleaner for these surfaces""; ""the cloth had a pattern of red dots on a white surface""; curated"
approved	village	noun	1883	村	町 / 里 / 人里	toeic600	place-noun			31	08226699-n,08672738-n	町より小さい人々のコミュニティ; 町よりも小さい集落; a community of people smaller than a town; curated
approved	spread	verb	1917	広がる	伝播 / 伝染 / 四達	toeic600	basic-verb-action			31	01380122-v,02060141-v	"配布されるか、広範囲に広がった; 外側に動く; become distributed or widespread; ""the infection spread""; ""Optimism spread among the population""; curated"
approved	prevent	verb	1980	防ぐ	禁止 / 邪魔 / 防ぐ	toeic600	basic-verb-action			31	02452885-v	"起きてしまうことまたは発生することを防ぐ; 不可能にする; keep from happening or arising; make impossible; ""My sense of tact forbids an honest answer""; ""Your role in the projects precludes your involvement in the competitive project""; curated"
approved	influence	noun	2006	影響	作用 / 偉力 / 勢威	toeic600	daily-noun			31	05194151-n	"特に力が名声その他に基づく人または出来事に影響を及ぼす力; a power to affect persons or events especially power based on prestige etc; ""used her parents' influence to get the job""; curated"
approved	influence	verb	2007	影響する	係る / 反影 / 反映	toeic600	thinking-verb			31	00701040-v	"形または影響; 指示を与える; shape or influence; give direction to; ""experience often determines ability""; ""mold public opinion""; curated"
approved	require	verb	2015	必要とする	下知 / 乞う / 命令	toeic600	thinking-verb			31	00751567-v	誰かに何かをさせる; make someone do something; curated
approved	vehicle	noun	2085	車両	乗物 / 媒体 / 車両	toeic600	travel-noun			31	04524313-n	人や物を運ぶ乗物; a conveyance that transports people or objects; curated
approved	treat	verb	2130	治療する	手当 / 扱う / あたる	toeic600	basic-verb-action			31	00078760-v	"手当てを提供する; provide treatment for; ""The doctor treated my broken leg""; ""The nurses cared for the bomb victims""; ""The patient must be treated right away or she will die""; ""Treat the infection with antibiotics""; curated"
approved	exist	verb	2175	存在する	いる / 在す / 在る	toeic600	basic-verb-action			31	02603699-v	"存在を持つ、存在する; have an existence, be extant; ""Is there a God?""; curated"
approved	remove	verb	2300	取り除く	収去 / 取る / 扣除	toeic600	basic-verb-action			30	00173338-v	"何か具体的なものを削除する、持ち上げる、押すこと、あるいは切り離すことなどにより、あるいは何か抽象的なものを削除する; remove something concrete, as by lifting, pushing, or taking off, or remove something abstract; ""remove a threat""; ""remove a wrapper""; ""Remove the dirty dishes from the table""; ""take the gun from your pocket""; ""This machine withdraws heat from the environment""; curated"
approved	profit	verb	2347	利益を得る	得る / 儲かる / 儲ける	toeic600	business-verb			19	02290461-v	"から利益を得る; derive a benefit from; ""She profited from his vast experience""; curated"
approved	schedule	noun	2471	予定	日取 / 日程 / 予定表	toeic600	business-noun			31	05910940-n,06495328-n	出席しなければならないことを整理した仮の計画; 出来事が行われるように計画された時間の順番に並んだリスト; a temporally organized plan for matters to be attended to; curated
approved	warning	noun	2870	警告	警告 / 警報 / 注意報	toeic800	daily-noun			31	07224151-n,06672297-n,07212874-n	"危険を知らせるメッセージ; 差し迫ったものについての警告的なアドバイス（特に差し迫った危険または他の不愉快さ）; a message informing of danger; ""a warning that still more bombs could explode""; curated"
approved	category	noun	2924	分類	種 / 部 / 分類	toeic800	learning-noun			31	07997703-n	"共通の属性を有する物の集まり; a collection of things sharing a common attribute; ""there are two classes of detergents""; curated"
approved	license	noun	3236	免許	免状 / 公許 / 公認	toeic800	business-noun			25	06549661-n	何かをする公式の許可を与える法律文書; a legal document giving official permission to do something; curated
approved	license	verb	3237	認可する	免許 / 公許 / 公認	toeic800	business-verb			19	02444662-v	"公式に認可する; authorize officially; ""I am licensed to practice law in this state""; curated"
approved	survive	verb	3260	生き残る	堪る / 堪忍 / 我慢	toeic800	basic-verb-action			31	02619924-v	"（逆境等）の後に生存し続ける; continue in existence after (an adversity, etc.); ""He survived the cancer against all odds""; curated"
approved	celebrate	verb	3378	祝う	悦ぶ / 慶ぶ / 慶祝	toeic800	basic-verb-action			31	02490877-v	"お祝いをする; have a celebration; ""They were feting the patriarch of the family""; ""After the exam, the students were celebrating""; curated"
approved	select	adjective	3678	厳選された		toeic800	quality-adjective			19	02342899-a	"上等の; of superior grade; ""choice wines""; ""prime beef""; ""prize carnations""; ""quality paper""; ""select peaches""; curated"
approved	assist	verb	3809	手伝う	世話 / 介助 / 介添	toeic800	basic-verb-action			31	02547586-v	"助けたり援助する; 役立つ; give help or assistance; be of service; ""Everyone helped out during the earthquake""; ""Can you help me carry this table?""; ""She never helps around the house""; curated"
approved	repair	noun	3911	修理	修正 / 修理 / 修築	toeic800	daily-noun			28	00266806-n	何かを再び使える状態にする行為; the act of putting something in working order again; curated
approved	repair	verb	3912	修理する	修理 / 修築 / 修繕	toeic800	basic-verb-action			30	00260648-v	"部分を取り替えるまたは裂けているか、壊れているものを組み立てることにより修復する; restore by replacing a part or putting together what is torn or broken; ""She repaired her TV set""; ""Repair my shoes please""; curated"
approved	roughly	adverb	4229	およそ	略 / 約 / ほぼ	toeic800	manner-adverb			31	00007015-r	"（量について）不正確であるがとても正確に近い; (of quantities) imprecise but fairly close to correct; ""lasted approximately an hour""; ""in just about a minute""; ""he's about 30 years old""; ""I've had about all I can stand""; ""we meet about once a month""; ""some forty people came""; ""weighs around a hundred pounds""; ""roughly $3,000""; ""holds 3 gallons, more or less""; ""20 or so people were at the party""; curated"
approved	enable	verb	4611	可能にする		toeic800	basic-verb-action			30	00512877-v	"ある課題に対して有能な; render capable or able for some task; ""This skill will enable you to find a job on Wall Street""; ""The rope enables you to secure yourself when you climb the mountain""; curated"
approved	recover	verb	4718	回復する	恢復 / 取戻す / 取り戻す	toeic800	basic-verb-action			31	02247977-v,00092690-v,00528339-v,02249438-v	"得るまたは見直す; 使用を回復する; get or find back; recover the use of; ""She regained control of herself""; ""She found her voice and replied quickly""; curated"
approved	breathe	verb	4883	呼吸する	呼吸 / 息づく / 息吹く	toeic800	basic-verb-action			31	00001740-v	"肺に空気を吸い込みはき出す; draw air into, and expel out of, the lungs; ""I can breathe better when the air is clean""; ""The patient is respiring""; curated"
approved	vary	verb	4993	変化する	変る / 変動 / 変化	toeic800	basic-verb-action			31	02662297-v	"変数に従って変更される傾向がある; be subject to change in accordance with a variable; ""Prices vary""; ""His moods vary depending on the weather""; curated"
approved	artificial	adjective	5000	人工的な	人工的 / 人為的 / 技巧的	toeic800	quality-adjective			25	01571363-a	"自然ではなくむしろ人為的に考案された; contrived by art rather than nature; ""artificial flowers""; ""artificial flavoring""; ""an artificial diamond""; ""artificial fibers""; ""artificial sweeteners""; curated"
approved	bullet	noun	5002	弾丸	弾丸 / 銃丸 / 銃弾	toeic800	daily-noun			31	02916350-n	銃から発射される発射体; a projectile that is fired from a gun; curated
approved	celebrated	adjective	5004	有名な	知名 / 著名 / 高名	toeic800	quality-adjective			13	01375831-a	"広く知られ、尊重される; widely known and esteemed; ""a famous actor""; ""a celebrated musician""; ""a famed scientist""; ""an illustrious judge""; ""a notable historian""; ""a renowned painter""; curated"
approved	consistently	adverb	5005	一貫して	一貫して	toeic800	manner-adverb			31	00120474-r	"組織的であるか一貫したさまの; in a systematic or consistent manner; ""they systematically excluded women""; curated"
approved	copyright	noun	5007	著作権	版権 / 出版権 / 著作権	toeic800	business-noun			13	06473168-n	文学作品、音楽作品、芸術作品の出版、販売の排他的権利を保証する文書; a document granting exclusive right to publish and sell literary or musical or artistic work; curated
approved	diverse	adjective	5015	多様な	区区 / 多彩 / 多様	toeic800	quality-adjective			25	02067719-a	"多く、そして様々な; many and different; ""tourist offices of divers nationalities""; ""a person of diverse talents""; curated"
approved	export	noun	5020	輸出	エクスポート	toeic800	business-noun			16	03306207-n	外国に売られる商品（品物あるいはサービス）; commodities (goods or services) sold to a foreign country; curated
approved	functional	adjective	5024	機能的な	使用可能	toeic800	quality-adjective			22	01090308-a,02976260-a,01835023-a	"特定の機能または使用が計画された、あるいは可能である; 特に構造と対比しての機能に関連があるか、に基づく; designed for or capable of a particular function or use; ""a style of writing in which every word is functional""; ""functional architecture""; curated"
approved	grandfather	noun	5027	祖父	祖父 / お祖父 / 御祖父	toeic800	people-noun			25	10142391-n	父あるいは母の父親; the father of your father or mother; curated
approved	habit	noun	5028	習慣	俗習 / 古例 / 因習	toeic800	daily-noun			31	00414179-n	"特定の状況に対する反射的な行動パターン; 頻繁な繰り返しによって獲得されたかもしれない; (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition; ""owls have nocturnal habits""; ""she had a habit twirling the ends of her hair""; ""long use had hardened him to it""; curated"
approved	isolated	adjective	5031	孤立した	離々たる / 離れ離れ / 離離たる	toeic800	quality-adjective			28	02110447-a	"他と離れて設置される、他との距離が保たれる存在または感覚; being or feeling set or kept apart from others; ""she felt detached from the group""; ""could not remain the isolated figure he had been""- Sherwood Anderson; ""thought of herself as alone and separated from the others""; ""had a set-apart feeling""; curated"
approved	lazy	adjective	5034	怠惰な	不精 / 怠惰 / 怠慢	toeic800	quality-adjective			19	00294579-a	"仕事または骨の折れる仕事に対してやる気が起こらない; disinclined to work or exertion; ""faineant kings under whose rule the country languished""; ""an indolent hanger-on""; ""too lazy to wash the dishes""; ""shiftless idle youth""; ""slothful employees""; ""the unemployed are not necessarily work-shy""; curated"
approved	neutral	adjective	5043	中立の	ニュートラル / 不活性 / 中立の	toeic800	quality-adjective			28	01615625-a	"個人的な好みがない; having no personal preference; ""impersonal criticism""; ""a neutral observer""; curated"
approved	noble	adjective	5045	高貴な	堂々たる / 堂堂たる / 威風堂々たる	toeic800	quality-adjective			28	01283508-a	"外観上印象的な; impressive in appearance; ""a baronial mansion""; ""an imposing residence""; ""a noble tree""; ""severe-looking policemen sat astride noble horses""; ""stately columns""; curated"
approved	popularity	noun	5047	人気	人気 / 信望 / 好評	toeic800	daily-noun			31	04808639-n	"広く敬服され、受け入れられ、もてはやされる性質; the quality of being widely admired or accepted or sought after; ""his charm soon won him affection and popularity""; ""the universal popularity of American movies""; curated"
approved	robot	noun	5051	ロボット	ロボット / 人造人間 / 自動人形	toeic800	technology-noun			13	02761392-n	自動的に動くことができるメカニズム; a mechanism that can move automatically; curated
approved	sacred	adjective	5052	神聖な	尊い / 神的 / 神聖	toeic800	quality-adjective			16	02054310-a,02054610-a	"神聖にされる、神聖であると宣言されるか、神聖であると考えられている; 神またはいくつかの宗教的な儀礼または使用に捧げられる; made or declared or believed to be holy; devoted to a deity or some religious ceremony or use; ""a consecrated church""; ""the sacred mosque""; ""sacred elephants""; ""sacred bread and wine""; ""sanctified wine""; curated"
approved	toxic	adjective	5058	有毒な	毒性 / 中毒性	toeic800	quality-adjective			21	02449430-a	"毒素または毒物の、毒素または毒物に関する、あるいは、毒素または毒物に引き起こされる; of or relating to or caused by a toxin or poison; ""suffering from exposure to toxic substances""; curated"
approved	treasury	noun	5059	国庫	金庫 / 金蔵 / 御金蔵	toeic800	business-noun			31	13356985-n	政府または機関または個人の資金; the funds of a government or institution or individual; curated
approved	warrant	noun	5064	令状	公認 / 容認 / 承認	toeic800	business-noun			19	06547059-n	警察に特定の行為を実行せよと命じている法廷からの令状; a writ from a court commanding police to perform specified acts; curated
approved	warrant	verb	5065	正当化する	正当付ける / 保証 / 保する	toeic800	thinking-verb			31	00896803-v	"十ん分な根拠を提供するまたは論理性を示す; show to be reasonable or provide adequate ground for; ""The emergency does not warrant all of us buying guns""; ""The end justifies the means""; curated"
approved	wound	noun	5066	傷	瑕 / 疵 / 傷創	toeic800	daily-noun			31	14298815-n	生体組織の損傷（特に皮膚の切り傷、ひび割れなどの怪我）; an injury to living tissue (especially an injury involving a cut or break in the skin); curated
approved	actively	adverb	5070	積極的に	活動的 / 盛んに / 行動的	toeic800	manner-adverb			22	00079617-r	"はつらつとした態度の; in an active manner; ""he participated actively in the war""; curated"
approved	asset	noun	5072	資産	効 / 益 / 冥利	toeic800	business-noun			19	05154517-n	役に立つ、または価値のある性質; a useful or valuable quality; curated
approved	casual	adjective	5085	気軽な	何げない / 何気ない / 何気無い	toeic800	quality-adjective			22	00545746-a	"不注意な無関心が特徴; marked by blithe unconcern; ""an ability to interest casual students""; ""showed a casual disregard for cold weather""; ""an utterly insouciant financial policy""; ""an elegantly insouciant manner""; ""drove his car with nonchalant abandon""; ""was polite in a teasing nonchalant manner""; curated"
approved	charter	noun	5087	憲章	憲章 / チャーター	toeic800	learning-noun			19	06471737-n	組織を法人組織にし、その権利を明細に述べる文書; 基本定款と法人設立証明書を含む; a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation; curated
approved	charter	verb	5088	貸し切る	傭船 / 賃借 / リース	toeic800	business-verb			16	02460619-v,02208537-v	リース、あるいは賃貸契約で保持する; 商品とサービスの; hold under a lease or rental agreement; of goods and services; curated
approved	civilian	noun	5090	民間人	民間人 / 非戦闘員 / シビリアン	toeic800	people-noun			19	09924742-n	軍人でない市民; a nonmilitary citizen; curated
approved	coalition	noun	5092	連合	合縦 / 同盟 / 団結	toeic800	business-noun			16	08293982-n	契約や条約にかかわる人々（や国々）の組織; an organization of people (or countries) involved in a pact or treaty; curated
approved	controversial	adjective	5096	物議を醸す		toeic800	quality-adjective			15	00601783-a	"物議を醸しだすことで特徴付けられる、あるいは、が可能である; marked by or capable of arousing controversy; ""the issue of the death penalty is highly controversial""; ""Rushdie's controversial book""; ""a controversial decision on affirmative action""; curated"
approved	differently	adverb	5098	異なって	異なって	toeic800	manner-adverb			31	00113082-r	"別のものと異なった方法で; in another and different manner; ""very soon you will know differently""; ""she thought otherwise""; ""there is no way out other than the fire escape"";; curated"
approved	discipline	verb	5100	訓練する	訓育 / 調教 / 躾ける	toeic800	basic-verb-action			25	02553697-v,02553428-v	"指導と演習により（子供たちのもの）素行を発達させる; 特に自制を教えること; develop (children's) behavior by instruction and practice; especially to teach self-control; ""Parents must discipline their children""; ""Is this dog trained?""; curated"
approved	healing	noun	5111	治癒		toeic800	daily-noun			16	13491616-n	体がそれ自身を治療する自然のプロセス; the natural process by which the body repairs itself; curated
approved	invasion	noun	5115	侵略	侵冦 / 侵掠 / 侵攻	toeic800	daily-noun			22	00976531-n,07429976-n,07332313-n	侵略行為; 前に支配していない地域に入ること; the act of invading; the act of an army that invades for conquest or plunder; curated
approved	laptop	noun	5118	ノートパソコン	ラップトップパソコン / ラップトップコンピュータ / ラップトップPC	toeic800	technology-noun			12	03642806-n	あなたのひざの上で使用するのに十分小型であるポータブル・コンピュータ; a portable computer small enough to use in your lap; curated
approved	legendary	adjective	5119	伝説的な		toeic800	quality-adjective			22	01376355-a,01935744-a	"伝説の特性を得たとして、とても賛美される; 伝説に、あるいは伝説上に名高い; so celebrated as to having taken on the nature of a legend; ""the legendary exploits of the arctic trailblazers""; curated"
approved	palm	noun	5122	手のひら	平手 / 手底 / 手掌	toeic800	daily-noun			25	05565696-n	手首から指の底面までの手の内側の表面; the inner surface of the hand from the wrist to the base of the fingers; curated
approved	photograph	noun	5125	写真	光画 / 写真 / 影像	toeic800	daily-noun			31	03925226-n	人物あるいは場面のプリントまたは透明なスライドの形の表現; カメラで感光性材料に記録される; a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material; curated
approved	photograph	verb	5126	撮影する	撮る / 撮影	toeic800	basic-verb-action			31	01003249-v	"写真用フィルムに記録する; record on photographic film; ""I photographed the scene of the accident""; ""She snapped a picture of the President""; curated"
approved	recipe	noun	5132	レシピ	手法 / 方式 / 範式	toeic800	daily-noun			13	06788785-n	何かを作るための指示; directions for making something; curated
approved	serial	adjective	5138	連続の	継続的 / 連続性 / 連続的	toeic800	quality-adjective			16	01667729-a	"隙間のない定期的な連続で; in regular succession without gaps; ""serial concerts""; curated"
approved	shed	noun	5139	小屋	小屋 / 納屋	toeic800	place-noun			16	04187547-n	１階の離れ; 避難所や貯蔵のために使われる; an outbuilding with a single story; used for shelter or storage; curated
approved	snake	noun	5142	ヘビ	ヘビ / 大蛇 / 蛇蝎	toeic800	daily-noun			31	01726692-n	手足のない鱗状の細長い爬虫類; 毒性のものもいる; limbless scaly elongate reptile; some are venomous; curated
approved	strict	adjective	5145	厳格な	厳格 / 厳重 / 儼たる	toeic800	quality-adjective			22	00915556-a,02506267-a,01299888-a	"厳しく正確なさま; 標準からの逸脱を許さないさま; rigidly accurate; allowing no deviation from a standard; ""rigorous application of the law""; ""a strict vegetarian""; curated"
approved	suggestion	noun	5148	提案	提言 / 申入 / 申し入れ	toeic800	learning-noun			31	05916155-n,07162680-n,07246582-n	"提案される考え; 承認か拒否のために出された提案; an idea that is suggested; ""the picnic was her suggestion""; curated"
approved	syndrome	noun	5150	症候群	シンドローム	toeic800	learning-noun			16	05870790-n,14304060-n	"同時に起こることの複合; ある種の病気の存在を示す、一連の徴候; a complex of concurrent things; ""every word has a syndrome of meanings""; curated"
approved	accidentally	adverb	5155	偶然に	不図 / 偶々 / 偶偶	toeic800	manner-adverb			16	00040547-r,00062650-r	"事前計画なしで; 故意でなく; without advance planning; ""they met accidentally""; curated"
approved	amateur	noun	5157	アマチュア	非家 / 愛好家 / 藤四郎	toeic800	people-noun			31	09786585-n,09786760-n	娯楽として研究またはスポーツを継続する誰か; お金をもらわずに競技する人; someone who pursues a study or sport as a pastime; curated
approved	amateur	adjective	5158	アマチュアの	下手 / 未熟 / 素人臭い	toeic800	quality-adjective			21	01869634-a	"娯楽として携わる; engaged in as a pastime; ""an amateur painter""; ""gained valuable experience in amateur theatricals""; ""recreational golfers""; ""reading matter that is both recreational and mentally stimulating""; ""unpaid extras in the documentary""; curated"
approved	briefly	adverb	5167	手短に	簡潔 / 短時間 / 早い話が	toeic800	manner-adverb			31	00289860-r	"簡潔に; 言葉少なに; in a concise manner; in a few words; ""the history is summed up concisely in this book""; ""she replied briefly""; ""briefly, we have a problem""; ""to put it shortly""; curated"
approved	climb	verb	5174	よじ登る	上る / 上昇 / 増加	toeic800	basic-verb-action			31	01921964-v,01923909-v	"上向きにゆるやかであるか連続した進歩を伴う; 掴むことで、どうにか移動する; go upward with gradual or continuous progress; ""Did you ever climb up the hill behind your house?""; curated"
approved	demonstrated	adjective	5180	立証された	証明された	toeic800	quality-adjective			15	00591298-a	疑問を越えて実証されたまたは確認された; having been demonstrated or verified beyond doubt; curated
approved	fever	noun	5185	熱	熱発 / 発熱 / 熱のある状態	toeic800	daily-noun			25	14365356-n,07511380-n	身体の体温が上がること; しばしば感染症の症状; a rise in the temperature of the body; frequently a symptom of infection; curated
approved	fluid	noun	5186	流体	流動体 / 汁 / 液	toeic800	place-noun			31	14939900-n,14939445-n	室温と室圧で流動性を有する物質; それが入っている容器の形に従って流れ、形を変える性質を持つ、連続した無定形の物質：液体または気体; a substance that is fluid at room temperature and pressure; curated
approved	generate	verb	5189	生む	生成 / 産む / 醸す	toeic800	communication-verb			31	01627355-v,01629000-v,00054628-v	"生まれ出る; 与えるか、または提供する; bring into existence; ""The new manager generated a lot of problems""; ""The computer bug generated chaos in the office""; ""The computer generated this image""; ""The earthquake generated a tsunami""; curated"
approved	imagination	noun	5191	想像力	想像 / 空想 / イマジネイション	toeic800	technology-noun			31	05767733-n	"物や出来事の心的イメージを形成する能力; the ability to form mental images of things or events; ""he could still hear her in his imagination""; curated"
